sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
114,frame_00483,v40c_00271,0.7388449311256409,0.07627857476472855,0.18487654626369476,0
115,frame_00484,v40c_00271,0.7025183439254761,0.10091669857501984,0.1965649425983429,0
116,frame_00485,v40c_00271,0.7983461022377014,0.04018769785761833,0.16146618127822876,0
117,frame_00486,v40c_00271,0.7708427309989929,0.05617600306868553,0.17298124730587006,0
118,frame_00487,v40c_00271,0.7792577147483826,0.05151838809251785,0.16922390460968018,0
119,frame_00488,v40c_00271,0.7760725021362305,0.05306041240692139,0.17086708545684814,0
120,frame_00489,v40c_00271,0.753082275390625,0.06723102182149887,0.17968666553497314,0
121,frame_00490,v40c_00271,0.7252197861671448,0.08540476858615875,0.18937541544437408,0
122,frame_00491,v40c_00271,0.7394281029701233,0.07631517946720123,0.1842566579580307,0
123,frame_00492,v40c_00271,0.7629348635673523,0.061324503272771835,0.1757405698299408,0
124,frame_00493,v40c_00271,0.735607385635376,0.07884062826633453,0.1855519562959671,0
125,frame_00494,v40c_00271,0.7736021876335144,0.054899342358112335,0.17149844765663147,0
126,frame_00495,v40c_00271,0.7764584422111511,0.05288652703166008,0.1706550121307373,0
127,frame_00496,v40c_00271,0.7409711480140686,0.07494299113750458,0.18408581614494324,0
128,frame_00497,v40c_00271,0.7460951209068298,0.07172417640686035,0.18218065798282623,0
129,frame_00498,v40c_00271,0.7755998969078064,0.05326027795672417,0.17113982141017914,0
130,frame_00499,v40c_00271,0.7412067651748657,0.07493530958890915,0.1838579624891281,0
131,frame_00500,v40c_00271,0.7569650411605835,0.0646408274769783,0.1783941388130188,0
132,frame_00501,v40c_00271,0.7766784429550171,0.05270037055015564,0.17062117159366608,0
133,frame_00502,v40c_00271,0.7348666787147522,0.07905960828065872,0.1860736906528473,0
134,frame_00503,v40c_00271,0.7302060723304749,0.08219677209854126,0.1875971108675003,0
135,frame_00504,v40c_00271,0.7479333281517029,0.07065539062023163,0.1814112812280655,0
136,frame_00505,v40c_00271,0.7942829132080078,0.04274211451411247,0.1629749983549118,0
137,frame_00506,v40c_00271,0.7550179362297058,0.06635712832212448,0.1786249727010727,0
138,frame_00507,v40c_00271,0.7458850145339966,0.0719388797879219,0.1821761131286621,0
139,frame_00508,v40c_00271,0.7641662955284119,0.0604119710624218,0.17542175948619843,0
140,frame_00509,v40c_00271,0.7653920650482178,0.05992338806390762,0.1746845841407776,0
141,frame_00510,v40c_00271,0.7643718719482422,0.06043646112084389,0.17519165575504303,0
142,frame_00511,v40c_00271,0.7467637062072754,0.07171040773391724,0.18152590095996857,0
143,frame_00704,v40c_00327,0.7731180787086487,0.05614957585930824,0.17073233425617218,0
144,frame_00705,v40c_00328,0.7061293125152588,0.09833097457885742,0.19553972780704498,0
145,frame_00706,v40c_00328,0.7847217917442322,0.049629051238298416,0.16564913094043732,0
146,frame_00707,v40c_00327,0.8289774656295776,0.02698807790875435,0.1440344601869583,0
147,frame_00708,v40c_00329,0.6873580813407898,0.11123059689998627,0.20141129195690155,0
148,frame_00709,v40c_00330,0.8365767598152161,0.023571202531456947,0.13985195755958557,0
149,frame_00710,v40c_00330,0.6606610417366028,0.13052533566951752,0.2088136076927185,0
150,frame_00711,v40c_00330,0.8040730357170105,0.03918467462062836,0.15674220025539398,0
151,frame_00712,v40c_00330,0.7960513830184937,0.043427444994449615,0.1605212539434433,0
152,frame_00713,v40c_00331,0.7400969862937927,0.0760757252573967,0.18382729589939117,0
153,frame_00714,v40c_00331,0.8087071776390076,0.03683999553322792,0.1544528305530548,0
154,frame_00715,v40c_00331,0.8243975639343262,0.028992388397455215,0.1466100513935089,0
155,frame_00716,v40c_00332,0.7502856850624084,0.0696210190653801,0.18009334802627563,0
156,frame_00717,v40c_00333,0.8264926671981812,0.02803453989326954,0.14547279477119446,0
157,frame_00718,v40c_00334,0.8316763639450073,0.025808002799749374,0.14251568913459778,0
158,frame_00719,v40c_00335,0.8391402363777161,0.022092243656516075,0.13876751065254211,0
159,frame_00720,v40c_00336,0.7340757250785828,0.07951129227876663,0.1864129602909088,0
160,frame_00721,v40c_00337,0.8215882182121277,0.03057199716567993,0.14783979952335358,0
161,frame_00722,v40c_00338,0.7905911207199097,0.046163734048604965,0.16324514150619507,0
162,frame_00723,v40c_00339,0.8089703321456909,0.03675929829478264,0.15427039563655853,0
163,frame_00724,v40c_00340,0.6441593170166016,0.14188838005065918,0.21395230293273926,0
164,frame_00725,v40c_00341,0.8074038624763489,0.037407152354717255,0.15518896281719208,0
165,frame_00726,v40c_00342,0.7861064076423645,0.048136841505765915,0.16575679183006287,0
166,frame_00727,v40c_00343,0.7834292650222778,0.04985552653670311,0.16671517491340637,0
167,frame_00728,v40c_00344,0.7368109226226807,0.07744733989238739,0.18574169278144836,0
168,frame_00729,v40c_00345,0.7124453186988831,0.092894047498703,0.19466060400009155,0
169,frame_00730,v40c_00345,0.7640663385391235,0.06084365397691727,0.1750899851322174,0
170,frame_00731,v40c_00346,0.8020352721214294,0.039950717240571976,0.1580139845609665,0
171,frame_00732,v40c_00347,0.6632185578346252,0.1274888515472412,0.20929259061813354,0
172,frame_00733,v40c_00348,0.7209802269935608,0.08771709352731705,0.19130262732505798,0
173,frame_00734,v40c_00349,0.7569179534912109,0.06515458971261978,0.17792750895023346,0
174,frame_00735,v40c_00350,0.7786054015159607,0.05261968448758125,0.16877491772174835,0
175,frame_00736,v40c_00351,0.7756268978118896,0.05453018471598625,0.16984298825263977,0
176,frame_00737,v40c_00352,0.8111374378204346,0.035329774022102356,0.15353280305862427,0
177,frame_00738,v40c_00353,0.7638448476791382,0.061375487595796585,0.17477963864803314,0
178,frame_00739,v40c_00354,0.7560425996780396,0.06571086496114731,0.1782466024160385,0
179,frame_00740,v40c_00355,0.8105658888816833,0.03582504764199257,0.15360905230045319,0
180,frame_00741,v40c_00356,0.831497073173523,0.02550547756254673,0.14299745857715607,0
181,frame_00742,v40c_00357,0.695464551448822,0.10431982576847076,0.20021562278270721,0
182,frame_00743,v40c_00358,0.8145981431007385,0.03356652706861496,0.15183532238006592,0
183,frame_00744,v40c_00359,0.7492955923080444,0.06919591873884201,0.1815083920955658,0
184,frame_00745,v40c_00360,0.7657900452613831,0.05959850549697876,0.17461150884628296,0
185,frame_00746,v40c_00361,0.7525148987770081,0.06742683053016663,0.1800582855939865,0
186,frame_00747,v40c_00362,0.7597744464874268,0.06308791786432266,0.1771375685930252,0
187,frame_00748,v40c_00363,0.7362284064292908,0.07771691679954529,0.18605469167232513,0
188,frame_00749,v40c_00364,0.7862332463264465,0.04843639209866524,0.16533038020133972,0
189,frame_00750,v40c_00365,0.8058688640594482,0.03792707622051239,0.15620407462120056,0
190,frame_00751,v40c_00366,0.6997675895690918,0.10147607326507568,0.1987563967704773,0
191,frame_00752,v40c_00367,0.7177519202232361,0.08928419649600983,0.1929638832807541,0
192,frame_00753,v40c_00368,0.7466521859169006,0.07105578482151031,0.18229202926158905,0
193,frame_00754,v40c_00369,0.7508423924446106,0.06841394305229187,0.18074358999729156,0
194,frame_00755,v40c_00370,0.8106101155281067,0.03551361709833145,0.15387623012065887,0
195,frame_00756,v40c_00371,0.6892552971839905,0.10865957289934158,0.20208504796028137,0
196,frame_00757,v40c_00372,0.7712537050247192,0.0566810667514801,0.17206521332263947,0
197,frame_00758,v40c_00373,0.7100206017494202,0.09444224089384079,0.19553717970848083,0
198,frame_00759,v40c_00373,0.6139619946479797,0.1644759625196457,0.22156205773353577,0
199,frame_00760,v40c_00373,0.704990029335022,0.09751682728528976,0.19749316573143005,0
200,frame_00761,v40c_00374,0.7518317103385925,0.06774526834487915,0.18042302131652832,0
201,frame_00762,v40c_00374,0.7420377135276794,0.07403557747602463,0.1839267760515213,0
