sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
674,frame_02298,v40c_01294,0.803873598575592,0.039180077612400055,0.1569463461637497,0
675,frame_02299,v40c_01295,0.7020723223686218,0.10052081942558289,0.1974068582057953,0
676,frame_02300,v40c_01296,0.794811487197876,0.04383964464068413,0.16134890913963318,0
677,frame_02301,v40c_01297,0.6942732334136963,0.10595341771841049,0.19977334141731262,0
678,frame_02302,v40c_01298,0.7135832905769348,0.0931750163435936,0.19324174523353577,0
679,frame_02303,v40c_01299,0.7711048126220703,0.057402729988098145,0.17149247229099274,0
680,frame_02496,v40c_01398,0.7374463677406311,0.07794798165559769,0.18460562825202942,0
681,frame_02497,v40c_01398,0.7167408466339111,0.09150047600269318,0.19175870716571808,0
682,frame_02498,v40c_01398,0.6675859093666077,0.12628139555454254,0.2061326503753662,0
683,frame_02499,v40c_01398,0.8039851784706116,0.03877509757876396,0.1572396606206894,0
684,frame_02500,v40c_01398,0.7060989141464233,0.09875974804162979,0.19514141976833344,0
685,frame_02501,v40c_01398,0.8125744462013245,0.03431957587599754,0.15310600399971008,0
686,frame_02502,v40c_01398,0.825504720211029,0.027868568897247314,0.14662663638591766,0
687,frame_02503,v40c_01398,0.8232860565185547,0.028821365907788277,0.14789257943630219,0
688,frame_02504,v40c_01398,0.6913594603538513,0.10889316350221634,0.19974732398986816,0
689,frame_02505,v40c_01398,0.7686678171157837,0.05847623944282532,0.1728559136390686,0
690,frame_02506,v40c_01398,0.8188682198524475,0.03117108903825283,0.1499606817960739,0
691,frame_02507,v40c_01398,0.7587173581123352,0.0646538957953453,0.1766287386417389,0
692,frame_02508,v40c_01398,0.7220364212989807,0.08795655518770218,0.1900070607662201,0
693,frame_02509,v40c_01398,0.8369765281677246,0.02229665033519268,0.14072690904140472,0
694,frame_02510,v40c_01398,0.793813943862915,0.04408484697341919,0.16210131347179413,0
695,frame_02511,v40c_01398,0.7970695495605469,0.042545050382614136,0.1603853851556778,0
696,frame_02512,v40c_01398,0.793813943862915,0.04427625983953476,0.16190984845161438,0
697,frame_02513,v40c_01398,0.60319584608078,0.17540250718593597,0.221401646733284,0
698,frame_02514,v40c_01398,0.7836189270019531,0.04969130456447601,0.16668973863124847,0
699,frame_02515,v40c_01398,0.7534392476081848,0.06769726425409317,0.17886348068714142,0
700,frame_02516,v40c_01398,0.7957966327667236,0.04313076287508011,0.16107256710529327,0
701,frame_02517,v40c_01398,0.7615894675254822,0.06257311999797821,0.1758374571800232,0
702,frame_02518,v40c_01398,0.8206806182861328,0.030225833877921104,0.14909355342388153,0
703,frame_02519,v40c_01398,0.7789313197135925,0.05230903998017311,0.16875964403152466,0
704,frame_02520,v40c_01398,0.5794797539710999,0.19467538595199585,0.2258448600769043,0
705,frame_02521,v40c_01398,0.8281237483024597,0.026364052668213844,0.1455121636390686,0
706,frame_02522,v40c_01398,0.7335160970687866,0.08009563386440277,0.1863882690668106,0
707,frame_02523,v40c_01398,0.8008638024330139,0.040419112890958786,0.1587170511484146,0
708,frame_02524,v40c_01398,0.7265490889549255,0.08458662778139114,0.18886427581310272,0
709,frame_02525,v40c_01398,0.6312068700790405,0.15255284309387207,0.21624033153057098,0
710,frame_02526,v40c_01398,0.8294088840484619,0.025645459070801735,0.14494574069976807,0
711,frame_02527,v40c_01398,0.6285147666931152,0.15456606447696686,0.2169191837310791,0
712,frame_02528,v40c_01398,0.7276685237884521,0.08335209637880325,0.1889794021844864,0
713,frame_02529,v40c_01398,0.7689228653907776,0.05790022388100624,0.1731768697500229,0
